"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato","saturation","mean_brightness","hue","H4","body_region","claw_type","carapace_type","identidade","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","data","size"
"X018_ll_br_c_lep_escuro",0.0569312734628593,0.130133968756485,0.154741464911191,0.16731827835124,0.155161025293224,1.41342060135083,4.9858951,"Peafowl","D65","substrato_barradorio",1.57080311070012,12.3056850616273,647,1.22419404264001,"Carapace","Leptochelous","Dark","ll_18","Dark","yes",8,NA,"by_time",0.01,1.17,0.28,1.17,38.8,"14iv2022",9.59
"X018_ll_br_q_lep_escuro",0.0884836912278581,0.199217105562042,0.272797721718955,0.26596804672162,0.261338154916259,1.92798076900449,8.1456025,"Peafowl","D65","substrato_barradorio",1.3458286163714,25.4277733833902,336,0.28237535915519,"Claw","Leptochelous","Dark","ll_18","Dark","yes",8,NA,"by_time",0.01,1.17,0.28,1.17,38.8,"14iv2022",17.53
"X019_ll_br_c_brac_escuro",0.0399996563238193,0.0816724690214886,0.109517860001264,0.156811399198776,0.120665457395746,2.53319182831356,3.4620069,"Peafowl","D65","substrato_barradorio",1.92689334135796,10.2508461284987,659,0.819504948490303,"Carapace","Brachychelous","Dark","ll_19","Dark","yes",12,NA,"by_time",0.02,0.04,0.07,0.07,17.9,"14iv2022",8.26
"X019_ll_br_q_brac_escuro",0.064058738811795,0.144503580822904,0.210890860746467,0.217591354468542,0.20438764476264,2.19491501849352,6.6559251,"Peafowl","D65","substrato_barradorio",1.1850451409357,18.8295074041744,339,0.610293507337789,"Claw","Brachychelous","Dark","ll_19","Dark","yes",12,NA,"by_time",0.02,0.04,0.07,0.07,17.9,"14iv2022",13.24
"X020_ll_br_c_brac_escuro",0.0540937549768029,0.117009744464481,0.146774028027969,0.172689573688046,0.150802812061672,1.19595941974432,4.8132263,"Peafowl","D65","substrato_barradorio",1.29669828050185,12.9864042129761,648,0.991071434454212,"Carapace","Brachychelous","Dark","ll_20","Dark","yes",60,NA,"by_time",0.84,2.02,2.22,2.22,33.6,"14iv2022",8.1
"X020_ll_br_q_brac_escuro",0.148915634728333,0.325847594608706,0.426212712680717,0.399708249725751,0.405189977755639,1.89441849989584,10.8034259,"Peafowl","D65","substrato_barradorio",1.08866640944758,39.0262879660189,343,0.674834816684289,"Claw","Brachychelous","Dark","ll_20","Dark","yes",60,NA,"by_time",0.84,2.02,2.22,2.22,33.6,"14iv2022",13.7
"X021_ll_br_c_brac_claro",0.0448467736904426,0.121670333086632,0.216103846829336,0.225308554388908,0.204908566210609,4.66187760012413,6.6713521,"Peafowl","D65","substrato_barradorio",1.69643608945741,14.9360325067679,647,0.983634552388528,"Carapace","Brachychelous","Bright","ll_21","Bright","yes",60,NA,"by_time",3.05,2.52,4.78,4.78,61.3,"14iv2022",8.81
"X021_ll_br_q_brac_claro",0.105406944597381,0.19633497112975,0.251998836147684,0.239595357457791,0.240712913136337,1.57583882363405,7.6473589,"Peafowl","D65","substrato_barradorio",1.18291823762253,26.1940450656339,338,-1.1747441719892,"Claw","Brachychelous","Bright","ll_21","Bright","yes",60,NA,"by_time",3.05,2.52,4.78,4.78,61.3,"14iv2022",18.85
"X022_ll_br_c_lep_escuro",0.11458943204767,0.21001382013633,0.234560873321766,0.252961175698683,0.236361440217063,1.41642947982041,7.5367963,"Peafowl","D65","substrato_barradorio",1.13372683757516,21.515534942857,655,1.32014013529107,"Carapace","Leptochelous","Dark","ll_22","Dark","yes",8,NA,"by_time",3.62,0.21,1.45,3.62,44.2,"14iv2022",10.46
"X022_ll_br_q_lep_escuro",0.104464264565258,0.203587116593068,0.254792071571226,0.237470538438215,0.242783469906574,1.81321841546306,7.6992679,"Peafowl","D65","substrato_barradorio",1.43764937312012,26.3277115072396,339,-1.35009828713303,"Claw","Leptochelous","Dark","ll_22","Dark","yes",8,NA,"by_time",3.62,0.21,1.45,3.62,44.2,"14iv2022",16.99
