"identidade","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data","body_region","size"
"ll_42","Brachychelous","Bright","no",NA,NA,"by_time",0.31,0.34,0.005,0.34,0.0586,58.6,"15iv2022","Carapace",9.24
"ll_42","Brachychelous","Bright","no",NA,NA,"by_time",0.31,0.34,0.005,0.34,0.0586,58.6,"15iv2022","Claw",17.71
"ll_43","Brachychelous","Dark","no",NA,NA,"by_time",0.05,8.34,0.97,8.34,0.0628,62.8,"15iv2022","Carapace",10.85
"ll_43","Brachychelous","Dark","no",NA,NA,"by_time",0.05,8.34,0.97,8.34,0.0628,62.8,"15iv2022","Claw",18.65
"ll_44","Brachychelous","Bright","no",NA,NA,"by_time",1.5,0.2,0.1,1.5,0.0452,45.2,"15iv2022","Carapace",9.04
"ll_44","Brachychelous","Bright","no",NA,NA,"by_time",1.5,0.2,0.1,1.5,0.0452,45.2,"15iv2022","Claw",14.97
"ll_45","Brachychelous","Dark","no",NA,NA,"by_time",1.39,0.06,0,1.39,0.03,30,"15iv2022","Carapace",9.22
"ll_45","Brachychelous","Dark","no",NA,NA,"by_time",1.39,0.06,0,1.39,0.03,30,"15iv2022","Claw",14.61
"ll_46","Brachychelous","Bright","no",NA,NA,"by_time",4.08,3.3,0.03,4.08,0.0764,76.4,"15iv2022","Carapace",9.58
"ll_46","Brachychelous","Bright","no",NA,NA,"by_time",4.08,3.3,0.03,4.08,0.0764,76.4,"15iv2022","Claw",18.09
"ll_47","Brachychelous","Dark","no",NA,NA,"by_time",0.06,0.2,0.67,0.67,0.0543,54.3,"15iv2022","Carapace",9.71
"ll_47","Brachychelous","Dark","no",NA,NA,"by_time",0.06,0.2,0.67,0.67,0.0543,54.3,"15iv2022","Claw",18.1
"ll_48","Brachychelous","Bright","yes",58,NA,"by_time",0.03,0.03,0.01,0.03,0.0688,68.8,"15iv2022","Carapace",10.12
"ll_48","Brachychelous","Bright","yes",58,NA,"by_time",0.03,0.03,0.01,0.03,0.0688,68.8,"15iv2022","Claw",19.2
"ll_49","Leptochelous","Dark","yes",59,NA,"by_time",0.41,0.16,0.12,0.41,0.0374,37.4,"15iv2022","Carapace",8.92
