"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato"
"X162_ll_br_c_brac_claro",NA,0.0989963867832416,0.175966846028516,NA,0.175966846028516,0.513789831405737,1.151753,"Fiddler crab","D65","substrato_barradorio"
"X162_ll_br_q_brac_claro",NA,0.259265763116714,0.426849511420214,NA,0.426849511420214,0.0622174207036623,2.0378889,"Fiddler crab","D65","substrato_barradorio"
"X163_ll_br_c_brac_escuro",NA,0.0653967347659263,0.122120255198309,NA,0.122120255198309,0.804420602543764,0.7864636,"Fiddler crab","D65","substrato_barradorio"
"X163_ll_br_q_brac_escuro",NA,0.108713525572845,0.269748363142452,NA,0.269748363142452,2.47931728152335,1.5789469,"Fiddler crab","D65","substrato_barradorio"
"X164_ll_br_c_brac_claro",NA,0.10385349430575,0.17851778525134,NA,0.17851778525134,0.316358464610195,1.1661456,"Fiddler crab","D65","substrato_barradorio"
"X164_ll_br_q_brac_claro",NA,0.147224805573976,0.314965679027556,NA,0.314965679027556,1.60562586428681,1.733921,"Fiddler crab","D65","substrato_barradorio"
"X165_ll_br_c_brac_escuro",NA,0.100127185577913,0.1687051715958,NA,0.1687051715958,0.198533113618843,1.10961,"Fiddler crab","D65","substrato_barradorio"
"X165_ll_br_q_brac_escuro",NA,0.157418908916298,0.323658617841182,NA,0.323658617841182,1.37154924724539,1.7611467,"Fiddler crab","D65","substrato_barradorio"
"X166_ll_br_c_brac_claro",NA,0.0677305527253667,0.132394782898011,NA,0.132394782898011,1.07381023853747,0.8672456,"Fiddler crab","D65","substrato_barradorio"
"X166_ll_br_q_brac_claro",NA,0.151836502852658,0.293230247847417,NA,0.293230247847417,1.0025277568676,1.6624155,"Fiddler crab","D65","substrato_barradorio"
"X167_ll_br_c_lep_escuro",NA,0.061526425308587,0.127323082730326,NA,0.127323082730326,1.40974599011941,0.8281852,"Fiddler crab","D65","substrato_barradorio"
"X167_ll_br_q_lep_escuro",NA,0.121243424657626,0.222382337948782,NA,0.222382337948782,0.698731221652886,1.3858555,"Fiddler crab","D65","substrato_barradorio"
"X168_ll_br_c_lep_claro",NA,0.0717509611689046,0.137628507741541,NA,0.137628507741541,0.962476081622756,0.9060154,"Fiddler crab","D65","substrato_barradorio"
"X168_ll_br_q_lep_claro",NA,0.203775263020477,0.346156563026503,NA,0.346156563026503,0.246628285216277,1.8283485,"Fiddler crab","D65","substrato_barradorio"
"X169_ll_br_c_brac_escuro",NA,0.0636288453829639,0.111760106534576,NA,0.111760106534576,0.443524081273836,0.697812,"Fiddler crab","D65","substrato_barradorio"
"X169_ll_br_q_brac_escuro",NA,0.0855864256060124,0.21355435161226,NA,0.213554351612261,2.51226470972057,1.3453487,"Fiddler crab","D65","substrato_barradorio"
"X170_ll_br_c_lep_claro",NA,0.0546813524736498,0.0843296365272166,NA,0.0843296365272166,0.322962812959935,0.4161907,"Fiddler crab","D65","substrato_barradorio"
