"ID","claw_size","carapace_size","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data"
"ll_109",16,9.06,"brachy","e","no",NA,NA,"by_time",4.23,2.7,0.1,4.23,0.0384,38.4,"01v2022"
"ll_110",12.04,10.26,"lepto","b","no",NA,NA,"by_time",0.29,0.18,0.03,0.29,0.0214,21.4,"01v2022"
"ll_111",20.61,10.05,"brachy","e","no",NA,NA,"by_time",2.34,0.47,0.06,2.34,0.0733,73.3,"01v2022"
"ll_112",20.14,9.67,"brachy","b","no",NA,NA,"by_time",0.45,0.16,0.04,0.45,0.0604,60.4,"01v2022"
"ll_113",13.82,8.58,"brachy","e","no",NA,NA,"by_time",5.12,0.08,NA,5.12,0.0344,34.4,"01v2022"
"ll_114",15.27,8.13,"brachy","b","no",NA,NA,"by_time",1.44,0.2,0.49,1.44,0.0327,32.7,"01v2022"
"ll_115",17.52,10.01,"brachy","e","no",NA,NA,"by_time",6.89,4.02,10.38,10.38,0.0474,47.4,"01v2022"
"ll_116",17.41,8.93,"brachy","b","no",NA,NA,"by_time",3.03,0.23,0.28,3.03,0.0627,62.7,"01v2022"
"ll_117",16.52,8.98,"brachy","e","no",NA,NA,"by_time",0.18,0.21,0.11,0.21,0.036,36,"01v2022"
"ll_118",15.05,9.05,"brachy","b","no",NA,NA,"by_time",2.1,0.59,0.54,2.1,0.0392,39.2,"01v2022"
"ll_119",15.05,8.44,"brachy","e","no",NA,NA,"by_time",5.97,2.77,0.37,5.97,0.0398,39.8,"01v2022"
"ll_120",16.74,9.3,"brachy","b","no",NA,NA,"by_time",4.32,0.64,1.56,4.32,0.065,65,"01v2022"
"ll_121",16.86,10.18,"lepto","e","no",NA,NA,"by_time",1.03,2.35,0.54,2.35,0.0497,49.7,"01v2022"
"ll_122",13.4,7.86,"brachy","b","no",NA,NA,"by_time",3.55,1.35,3.73,3.73,0.036,36,"01v2022"
"ll_123",17.23,9.01,"brachy","e","no",NA,NA,"by_time",0.32,0.27,0.35,0.35,0.0349,34.9,"01v2022"
"ll_124",19.73,10,"brachy","b","no",NA,NA,"by_time",0.14,9.78,0.25,9.78,0.0681,68.1,"02v2022"
"ll_125",19.2,9.45,"brachy","e","no",NA,NA,"by_time",0.28,6.11,3.32,6.11,0.062,62,"02v2022"
"ll_126",18.47,9.81,"lepto","b","no",NA,NA,"by_time",1.31,0.98,0.5,1.31,0.049,49,"02v2022"
"ll_127",20.63,9.95,"brachy","e","no",NA,NA,"by_time",1.19,2.87,0.37,2.87,0.0663,66.3,"02v2022"
"ll_128",18.15,9.47,"brachy","b","no",NA,NA,"by_time",2.67,1.79,9.63,9.63,0.0694,69.4,"02v2022"
"ll_129",17.03,9.61,"brachy","e","no",NA,NA,"by_time",0.28,0.28,4.32,4.32,0.0501,50.1,"02v2022"
"ll_130",18.24,8.93,"brachy","b","no",NA,NA,"by_time",4.68,0.23,0.1,4.68,0.0524,52.4,"02v2022"
"ll_131",16.34,9.04,"lepto","e","no",NA,NA,"by_time",0.11,0.04,0.05,0.11,0.0416,41.6,"02v2022"
"ll_132",16.53,10.03,"brachy","b","no",NA,NA,"by_time",0.18,0.47,2.22,2.22,0.0379,37.9,"02v2022"
"ll_133",17.07,9.18,"brachy","e","no",NA,NA,"by_time",9.25,2.32,5.75,9.25,0.0484,48.4,"02v2022"
"ll_134",18.06,9.41,"brachy","b","no",NA,NA,"by_time",3,10.94,4.41,10.94,0.0563,56.3,"02v2022"
"ll_135",22.69,11.84,"brachy","e","no",NA,NA,"by_time",1.49,1.28,0.19,1.49,0.1104,110.4,"02v2022"
"ll_136",17.48,10.07,"brachy","b","no",NA,NA,"by_time",8.63,0.56,2.83,8.63,0.0687,68.7,"02v2022"
"ll_137",19.41,9.55,"brachy","e","no",NA,NA,"by_time",2.78,3.79,2.65,3.79,0.0608,60.8,"02v2022"
"ll_138",20.63,9.59,"brachy","b","no",NA,NA,"by_time",14.27,12.52,0.15,14.27,0.0786,78.6,"13vi2022"
"ll_139",14.87,8.88,"brachy","e","no",NA,NA,"by_time",2.19,5.19,0.05,5.19,0.0438,43.8,"13vi2022"
"ll_140",20.82,10.34,"brachy","b","no",NA,NA,"by_time",3.14,15.17,0.69,15.17,0.0793,79.3,"13vi2022"
"ll_141",16.79,10.19,"lepto","e","no",NA,NA,"by_time",0.07,0.1,0.22,0.22,0.0241,24.1,"13vi2022"
